asset_service_history
ACTUATOR-INSPECTION
ACTUATOR-MAINTENANCE
AIR-BLOWER-MAINTENANCE
AIR-BLOWER-PHYSICAL-OBSERVATIO
AIR-CIRCUIT-BREAKE-MAINTENANCE
AIR-CIRCUIT-BREAKER-INSPECTION
AIR-COMPRESSOR-INSPECTION
AIR-COMPRESSOR-MAINTENANCE
AIR-COMPRESSOR-OBSERVATION
AIR-RECEIVER-TANK-INSPECTION
AIR-RECEIVER-TANK-MAINTENANCE
ANALYZER-INSTRUMENT-INSPECTION
AUXILIARIES-CONDITION
BANDSCREEN MAINTENANCE
BANDSCREEN-OBSERVATION
BATTERY-CHARGER-INSPECTION
BATTERY-CHARGER-MAINTENANCE
CABINET INSPECTION
CALIBRATION-ICP-MS
CALIBRATION-ION-CHROMATOGRAPHY
CALIBRATION-ONLINE-ANALYZER
CALIBRATION-TOC
CALIBRATION-VISCOMETER
CHAMBER-INSPECTION
CHLORGUARD-MAINTENANCE
CHLORINATOR-INSPECTION
CHLORINATOR-MAINTENANCE
CHLORINATOR-OBSERVATION
COMMUNICATION&ELECT-INSPECTION
CONVEYOR-INSPECTION
CONVEYOR-MAINTENANCE
CRANE-MAINTENANCE
CRANE-OBSERVATION
DATA-LOGGER-INSPECTION
DECANTER-INSPECTION
DECANTER-MAINTENANCE
DECANTER-OBSERVATION
DIFFUSER INSPECTION
DIFFUSER-MAINTENANCE
DOWNTIME
EARTHING-INSPECTION
EJECTOR INSPECTION
EJECTOR MAINTENANCE
ELECTRICAL-PANEL-INSPECTION
ELECTRICAL-PANEL-MAINTENANCE
ELECTROMAGNETIC-INSPECTION
ELECTROMAGNETIC-MAINTENANCE
EVAPORATOR MAINTENANCE
EVAPORATOR-OBSERVATION
FAILURE
FLOW-METER-INSPECTION
FLOW-METER-VERIFICATION-TEST
FLUORIDE-PREPARATI-MAINTENANCE
FLUORIDE-PREPARATIO-INSPECTION
GATE-VALVE-INSPECTION
GENERAL INSPECTION TEST-UAT-MA
GENERAL-MAINT
GENERAL-PHYSICAL-OBSERVATION
GENERATOR-OBSERVATION
GENERATOR SET MAINTENANCE
HEAVY-VEHICLE-INSPECTION
HOPPER-INSPECTION
HOPPER-MAINTENANCE
HT-SWITCHGEAR-PD
HT-SWITCHGEAR-THERMOGRAPHY
HT-SWITCHGEAR-ULTRASOUND
HT-TRANSFORMER-PD
HT-TRANSFORMER-THERMOGRAPHY
HT-TRANSFORMER-ULTRASOUND
HYDROPHONE-INSPECTION
ICP-MS
INSPECTION-AUTOCLAVE
INSPECTION-AUTO-TITRATOR
INSPECTION-BALANCE
INSPECTION-BOD-APPARATUS
INSPECTION-BROADBAND
INSPECTION-CABINET
INSPECTION-CAMERA
INSPECTION-CHILLER
INSPECTION-COLORIMETER
INSPECTION-CONDUCTIVITY-METER
INSPECTION-DEIONISED-WATER
INSPECTION-DEPTH-SAMPLER
INSPECTION-DESSICCATOR
INSPECTION-DISPENSETTE
INSPECTION-DISSOLVED-OXYGEN
INSPECTION-DISTILLATOR
INSPECTION-DRONE
INSPECTION-EXT-CONDITION-GPS
INSPECTION EXT-CONDITION-LAPT
INSPECTION-EXT-CONDITION-P-PUM
INSPECTION-EXT-CONDITION-TAB
INSPECTION-FUME-CUPBOARD
INSPECTION-GC-MS
INSPECTION-HEATER
INSPECTION-HOTPLATE
INSPECTION-HYDROMETER
INSPECTION-INCUBATOR
INSPECTION-ION-CHROMATOGRAPHY
INSPECTION-JAR-TEST
INSPECTION-LIME-BIG-BAG-SYSTEM
INSPECTION-MAGNETIC-STIRRER
INSPECTION-MICROFILL
INSPECTION-MICROPIPETTE
INSPECTION-MICROSCOPE
INSPECTION-MOISTURE-ANALYZER
INSPECTION-MULTIPARAMETER
INSPECTION-NESSLERISER
INSPECTION-NITROGEN-EVAPORATOR
INSPECTION-ONLINE-ANALYZER
INSPECTION-OVEN
INSPECTION-PH-METER
INSPECTION-PHOTO-SPECTROMETER
INSPECTION PUMP
INSPECTION PUMP-CENTRIFUGAL MU
INSPECTION-QUANTI-TRAY-SEALER
INSPECTION-REACTOR
INSPECTION-REFRIGERATOR
INSPECTION-RMS
INSPECTION-SAMPLING-STATION
INSPECTION-SIEVE
INSPECTION-TACHOMETER
INSPECTION-THERMOMETER
INSPECTION-TITRATOR
INSPECTION-TOC
INSPECTION-TURBIDIMETER
INSPECTION-ULTRAVIOLATE-H-LAMP
INSPECTION-UPS
INSPECTION-VACUUM-PUMP
INSPECTION-WATERBATH
INSPECTION-WATER-PURIFICATION
INSPECTION-WEIGHT-CALIBRATION
LEAK-DETECTOR-INSPECTION
LEAK-DETECTOR-MAINTENANCE
LEVEL INDICATOR INSPECTION
LIGHTING-INSPECTION
LIGHTING-MAINTENANCE
LIGHT-VEHICLE-INSPECTION
MAINTENANCE-LIME-BAG-SYSTEM
MAINTENANCE-POLYMER-PREPARATON
MAINTENANCE PUMP-CENTRIFUGAL M
MAINTENANCE PUMP-CENTRIFUGAL S
MAINTENANCE PUMP-SPLIT CASING
MAINTENANCE-SLIP-RING-MOTOR
MAINTENANCE-SQUIRREL-CAGE
MECHANICAL-SCREEN-INSPECTION
MECHANICAL-SCREEN-MAINTENANCE
MIXER-MAINTENANCE
MIXER-OBSERVATION
MOTOR-ANALYZER
MOTORCYCLES-VEHICLES-INSPECT
MOTOR-INSURANCE-ROADTAX-R
MOTOR-LASER-ALIGNMENT
MOTOR-OBSERVATION
MOTOR-PARTIAL-DISCHARGE
MOTOR-SQUIRREL-CAGE-INSPECTION
MOTOR-THERMOGRAPHY
MOTOR-ULTRASOUND
MOTOR-VIBRATION-ANALYSIS
ONLINE-ANALYZER-MAINTENANCE
PANEL-INSPECTION
PASSENGER-HOIST-INSPECTION
PASSENGER-HOIST-MAINTENANCE
PENSTOCK-INSPECTION
PENSTOCK MAINTENANCE
PNEUMATIC-VALVE-INSPECTION
POLYMER-PREPARATION-INSPECTION
POLYMER-PREPARATION-MAINTENANC
PRESSURE-GAUGE-INSPECTION
PRESSURE-GAUGE-MAINTENANCE
PRESSURE-REDUCING-VALVE-INSPEC
PRESSURE REDUCING VALVE MAJOR
PRESSURE-RELIEF-VAL-INSPECTION
PRESSURE-TRANDUCER-INSPECTION
PRESSURE-TRANSMITTER-INSPECT
PRESSURE-VALVE-INSPECTION
PRESSURE-VALVE-MAINTENANCE
PREVENTIVE-MAINTENANCE-MOTOR
PREVENTIVE-MAINTENANCE-PUMP
PUMP-DRY-PIT-MAINTENANCE
PUMP-DRY-PIT-RATING-INSPECTION
PUMP-LASER-ALIGNMENT
PUMP-METERING-INSPECTION
PUMP-METERING-MAINTENANCE
PUMP-OBSERVATION
PUMP-PERFORMANCE
PUMP-PROGRESSIVE-INSPECTION
PUMP-PROGRESSIVE-MAINTENANCE
PUMP-SUBMERSIBLE-INSPECTION
PUMP-SUBMERSIBLE-MAINTENANCE
PUMP-THERMOGRAPHY
PUMP-VIBRATION-ANALYSIS
PUSPAKOM-PERMIT-RENEWAL
RECORDER-INSPECTION
RECORDER-MAINTENANCE
REFRIGERATED-DRYER-INSPECTION
REFRIGERATED-DRYER-MAINTENANCE
REMOTE-TELEMETRY-UNIT-INSPECT
RESERVOIR-INSPECTION
RIVER-GATE-INSPECTION
RIVER-GATE-MAINTENANCE
SCRAPPER-INSPECTION
SCRAPPER-MAINTENANCE
SCRUBBER-INSPECTION
SCRUBBER-MAINTENANCE
SILO-INSPECTION
SILO-MAINTENANCE
SOLAR&UPS-SYSTEM-INSPECTION
SOLAR-PANEL-INSPECTION
STARTER-PANEL-PARTIAL-DISCHARG
STARTER-PANEL-THERMOGRAPHY
STARTER-PANEL-ULTRASOUND
STATIC-SCREEN-INSPECTION
STATION-PHYSICAL-INSPECTION
STRAINER-INSPECTION
STRAINER-MAINTENANCE
SURGE-VESSEL-MAINTENANCE
SURGE-VESSEL-OBSERVATION
TANK-INSPECTION
TEST-UAT
TEST-UAT-2
TEST-UAT-WAMS-PIPE
TRAILER-MACHINE-VEHICLES-INSP
TRANSFORMER-INSPECTION
TRANSFORMER-MAINTENANCE
TRANSFORMER-OIL-ANALYSIS
TRANSMITTER-INSPECTION
U.P.S-INSPECTION
U.P.S-MAINTENANCE
UAT-WAMSPIPE-TEST
ULTRASONIC-SENSOR-INSPECTION
ULTRASONIC-SENSOR-MAINTENANCE
VACUUM-REGULATOR-INSPECTION
VACUUM-REGULATOR-MAINTENANCE
VALVE-PHYSICAL-OBSERVATION
VCB-INSPECTION
VCB-MAINTENANCE
VEHICLE-MILEAGE-PERFORMANCE
VEHICLE-OBSERVATION
VEHICLE-RUNHOUR-PERFORMANCE
VENTILATION-FAN-INSPECTION
VENTILATION-FAN-MAINTENANCE
VIBRATOR INSPECTION TEST
WATER-SUPPLY-PUMPING-INSPECTIO
WEIGHBRIDGE-INSPECTION
WEIGHBRIDGE-MAINTENANCE
WEIGHING-SCALE-INSPECTION
WEIGHING-SCALE-MAINTENANCE
