id,location_type,description,work_request_approval_profile,owning_org,building,room,position,country,address_1,address_2,address_3,cross_street,city,suburb,state,location_class,main_contact,maintenance_manager,planner,cost_center,rcm_system,service_condition,duty_cycle,backlog_group,run_to_failure,breaker,runtime_source,tag_number,site_location,point_id,service_area,latitude,longitude,criticality_reason,gis_id,connected_to_location_id,water_asset_category,land_asset_status,land_ownership_number,take_over_date,take_over_date_source_qt11,take_over_date_source_ccc,land_area_acre,plan_certified_number,plan_as_built_number,quit_rent_bill_number,quit_rent_bill_payment_date,assessment_bill_number,assessment_bill_payment_date,lease_expired_date,remarks,submitted_datetime,created_date,modified_date,current_rate_of_quit_rent,Bo,asset_criticality,current_rate_Of_assesment,environmental_rating,locatin_disposition,main_contact_name,maintenance_manager_nam,parent_loc_or_org,parent_location_name,plan_pre_computation_number,planner_name,postal
8aceb029-c2eb-453c-848d-118596a3b902,ASSET-LOCATION,SUNGAI SEMENYIH WTP-BUILDING-RESERVOIR-BR BYPASS OUTLET LINE 4 & LINE 7 SLUICE VALVE ACTUATOR S05,CM-WR-PD-WTP-S,PD-S,RESERVOIR,"","","",LOJI PEMBERSIHAN AIR SG SEMENYIH,LEBUH WADI EHSAN,PRESINT 19,"",PUTRAJAYA,"",PJY,"",788707152593,ES-P-WTP-S-MM4,ES-PROD-S-P5,101.3440.2081.000.000.000,"","","","",W1NO,"","","","","",SOUTH,2.901860,101.688086,"",WTPSE01,"","","","",,,,"","","","",,"","",,"",2021-01-26 14:45:03.974028+00,2021-01-26 14:45:03.974055+00,2021-01-26 14:45:03.974066+00,"",W1-PlantAssetLocation,04,"","",W1AC,"","",813164726657,"","","",62200
e4dd3b1f-2924-4da7-a48b-8c937892c40f,ASSET-LOCATION,SUNGAI SEMENYIH WTP-BUILDING-RESERVOIR-BR INLET BUTTERFLY VALVE ACTUATOR B04,CM-WR-PD-WTP-S,PD-S,RESERVOIR,"","","",LOJI PEMBERSIHAN AIR SG SEMENYIH,LEBUH WADI EHSAN,PRESINT 19,"",PUTRAJAYA,"",PJY,"",788707152593,ES-P-WTP-S-MM4,ES-PROD-S-P5,101.3440.2081.000.000.000,"","","","",W1NO,"","","","","",SOUTH,2.901860,101.688086,"",WTPSE01,"","","","",,,,"","","","",,"","",,"",2021-01-26 14:45:05.341275+00,2021-01-26 14:45:05.341302+00,2021-01-26 14:45:05.341313+00,"",W1-PlantAssetLocation,04,"","",W1AC,"","",813164726657,"","","",62200
ed510126-0597-4b60-b038-1fce220ded1b,ASSET-LOCATION,BUKIT TAMPOI OLD WTP-BUILDING-RESERVOIR-BR 1 (1MG),CM-WR-PD-WTP-S,PD-S,RESERVOIR,"","","",BUKIT TAMPOI WATER TREATMENT PLANT,"","","",DENGKIL,"",SGR,"",985655499862,ES-P-WTP-S-MM4,ES-PROD-S-P5,101.3440.2011.000.000.000,"","","","",W1NO,"","","","","",SOUTH,2.844315,101.676064,"",WTPKT01,"","","","",,,,"","","","",,"","",,"",2021-01-26 14:45:05.788922+00,2021-01-26 14:45:05.788956+00,2021-01-26 14:45:05.788968+00,"",W1-PlantAssetLocation,04,"","",W1AC,"","",522185426386,"","","",43800
ff3902f0-8677-4a74-8780-160fc4f99750,ASSET-LOCATION,BUKIT TAMPOI OLD WTP-BUILDING-RESERVOIR-OUTLET VALVE 3 (1MG),CM-WR-PD-WTP-S,PD-S,RESERVOIR,"","","",BUKIT TAMPOI WATER TREATMENT PLANT,"","","",DENGKIL,"",SGR,"",985655499862,ES-P-WTP-S-MM4,ES-PROD-S-P5,101.3440.2011.000.000.000,"","","","",W1NO,"","","","","",SOUTH,2.844315,101.676064,"",WTPKT01,"","","","",,,,"","","","",,"","",,"",2021-01-26 14:45:06.256534+00,2021-01-26 14:45:06.256561+00,2021-01-26 14:45:06.256571+00,"",W1-PlantAssetLocation,04,"","",W1AC,"","",522185426386,"","","",43800
99444ed7-0fe3-495e-acac-71b65ef9ff59,ASSET-LOCATION,BUKIT TAMPOI OLD WTP-BUILDING-RESERVOIR-INLET VALVE 1 (1MG),CM-WR-PD-WTP-S,PD-S,RESERVOIR,"","","",BUKIT TAMPOI WATER TREATMENT PLANT,"","","",DENGKIL,"",SGR,"",985655499862,ES-P-WTP-S-MM4,ES-PROD-S-P5,101.3440.2011.000.000.000,"","","","",W1NO,"","","","","",SOUTH,2.844315,101.676064,"",WTPKT01,"","","","",,,,"","","","",,"","",,"",2021-01-26 14:45:06.556834+00,2021-01-26 14:45:06.55686+00,2021-01-26 14:45:06.55687+00,"",W1-PlantAssetLocation,04,"","",W1AC,"","",522185426386,"","","",43800
f6d8e9fa-3abf-448b-af33-3ff1c93f7cb6,ASSET-LOCATION,BUKIT TAMPOI NEW WTP-BUILDING-RESERVOIR-OUTLET VALVE 1 (2MG),CM-WR-PD-WTP-S,PD-S,RESERVOIR,"","","",BUKIT TAMPOI WATER TREATMENT PLANT,"","","",DENGKIL,"",SGR,"",985655499862,ES-P-WTP-S-MM4,ES-PROD-S-P5,101.3440.2011.000.000.000,"","","","",W1NO,"","","","","",SOUTH,2.844315,101.676064,"",WTPKT01,"","","","",,,,"","","","",,"","",,"",2021-01-26 14:45:07.289677+00,2021-01-26 14:45:07.289704+00,2021-01-26 14:45:07.289715+00,"",W1-PlantAssetLocation,04,"","",W1AC,"","",55564823094,"","","",43800
43e1f234-cf79-40bb-9f7b-5dce168cac3e,ASSET-LOCATION,SUNGAI SEMENYIH WTP-BUILDING-RESERVOIR-BR OUTLET BUKIT DENGKIL BUTTERFLY VALVE ACTUATOR GB02,CM-WR-PD-WTP-S,PD-S,RESERVOIR,"","","",LOJI PEMBERSIHAN AIR SG SEMENYIH,LEBUH WADI EHSAN,PRESINT 19,"",PUTRAJAYA,"",PJY,"",788707152593,ES-P-WTP-S-MM4,ES-PROD-S-P5,101.3440.2081.000.000.000,"","","","",W1NO,"","","","","",SOUTH,2.901860,101.688086,"",WTPSE01,"","","","",,,,"","","","",,"","",,"",2021-01-26 14:45:04.131713+00,2021-01-26 14:45:04.13174+00,2021-01-26 14:45:04.13175+00,"",W1-PlantAssetLocation,04,"","",W1AC,"","",813164726657,"","","",62200
792e7457-3e6c-4d32-838a-4d69c2374c00,ASSET-LOCATION,SUNGAI SEMENYIH WTP-BUILDING-RESERVOIR-BR INLET BUTTERFLY VALVE ACTUATOR B02,CM-WR-PD-WTP-S,PD-S,RESERVOIR,"","","",LOJI PEMBERSIHAN AIR SG SEMENYIH,LEBUH WADI EHSAN,PRESINT 19,"",PUTRAJAYA,"",PJY,"",788707152593,ES-P-WTP-S-MM4,ES-PROD-S-P5,101.3440.2081.000.000.000,"","","","",W1NO,"","","","","",SOUTH,2.901860,101.688086,"",WTPSE01,"","","","",,,,"","","","",,"","",,"",2021-01-26 14:45:04.839424+00,2021-01-26 14:45:04.839452+00,2021-01-26 14:45:04.839462+00,"",W1-PlantAssetLocation,04,"","",W1AC,"","",813164726657,"","","",62200
a5c93b9c-1c30-45cb-8456-a6f4c6db535a,ASSET-LOCATION,BUKIT TAMPOI NEW WTP-BUILDING-RESERVOIR-SCOUR BYPASS VALVE (2MG),CM-WR-PD-WTP-S,PD-S,RESERVOIR,"","","",BUKIT TAMPOI WATER TREATMENT PLANT,"","","",DENGKIL,"",SGR,"",985655499862,ES-P-WTP-S-MM4,ES-PROD-S-P5,101.3440.2011.000.000.000,"","","","",W1NO,"","","","","",SOUTH,2.844315,101.676064,"",WTPKT01,"","","","",,,,"","","","",,"","",,"",2021-01-26 14:45:06.987859+00,2021-01-26 14:45:06.987886+00,2021-01-26 14:45:06.987897+00,"",W1-PlantAssetLocation,04,"","",W1AC,"","",55564823094,"","","",43800
64fb1015-4d1c-445f-a78c-2a4d9fadb5e7,ASSET-LOCATION,SUNGAI SEMENYIH WTP-BUILDING-RESERVOIR-BR OUTLET BUKIT DENGKIL BUTTERFLY VALVE ACTUATOR GB01,CM-WR-PD-WTP-S,PD-S,RESERVOIR,"","","",LOJI PEMBERSIHAN AIR SG SEMENYIH,LEBUH WADI EHSAN,PRESINT 19,"",PUTRAJAYA,"",PJY,"",788707152593,ES-P-WTP-S-MM4,ES-PROD-S-P5,101.3440.2081.000.000.000,"","","","",W1NO,"","","","","",SOUTH,2.901860,101.688086,"",WTPSE01,"","","","",,,,"","","","",,"","",,"",2021-01-26 14:45:04.288981+00,2021-01-26 14:45:04.289009+00,2021-01-26 14:45:04.28902+00,"",W1-PlantAssetLocation,04,"","",W1AC,"","",813164726657,"","","",62200
